slug,url,city,name,rating,views,reviews_count,phone,locality,board,established,category,classes,gender,fees_range,about,images
/school/jaipur/paras-international-english-school-bagru,https://yellowslate.com/school/jaipur/paras-international-english-school-bagru,jaipur,Paras International English School - Bagru ,0,238,0,+919513238818,Bagru,CBSE,2009,Day Schools,,Co-Education,,,
/school/jaipur/the-rajasthan-school-kotputli,https://yellowslate.com/school/jaipur/the-rajasthan-school-kotputli,jaipur,THE RAJASTHAN SCHOOL - KOTPUTLI ,0,211,0,+919513238818,KOTPUTLI,CBSE,2005,Boarding Schools,,Co-Education,,,
/school/jaipur/cambridge-court-world-school-mansarovar,https://yellowslate.com/school/jaipur/cambridge-court-world-school-mansarovar,jaipur,Cambridge Court World School - Mansarovar ,0,199,0,+919513238818,Mansarovar,CBSE,2016,Day Schools,,Co-Education,,,
/school/jaipur/jayshree-periwal-high-school-chitrakoot,https://yellowslate.com/school/jaipur/jayshree-periwal-high-school-chitrakoot,jaipur,Jayshree Periwal High School - Chitrakoot ,4.9,184,150,+919513238818,Chitrakoot,CBSE,2002,Boarding Schools,000 - 131,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
/school/jaipur/neerja-modi-school-shanthi-nagarmansarovar,https://yellowslate.com/school/jaipur/neerja-modi-school-shanthi-nagarmansarovar,jaipur,"Neerja Modi School - Shanthi Nagar,Mansarovar ",0,178,0,+919513238818,"Shanthi Nagar,Mansarovar","IGCSE, IB",2001,Boarding Schools,,Co-Education,,,
/school/jaipur/srn-international-school-ramnagariya,https://yellowslate.com/school/jaipur/srn-international-school-ramnagariya,jaipur,SRN International School - Ramnagariya ,4.8,163,150,+919513238818,Ramnagariya,CBSE,2002,Boarding Schools,,Co-Education,,,
/school/jaipur/vivek-techno-school-nagaur,https://yellowslate.com/school/jaipur/vivek-techno-school-nagaur,jaipur,VIVEK TECHNO SCHOOL - Nagaur ,0,162,0,+919513238818,Nagaur,CBSE,2015,Boarding Schools,000 - 38,Co-Education,,,
/school/jaipur/neerja-modi-school-mansarovar,https://yellowslate.com/school/jaipur/neerja-modi-school-mansarovar,jaipur,Neerja Modi School - Mansarovar ,3.5,147,154,+919513238818,Mansarovar,CBSE,2001,Boarding Schools,Nursery - 12,Co-Education,,,
/school/jaipur/discovery-international-school-pragpura,https://yellowslate.com/school/jaipur/discovery-international-school-pragpura,jaipur,Discovery International School - Pragpura ,0,118,0,+919513238818,Pragpura,CBSE,2012,Boarding Schools,,Co-Education,,,
/school/jaipur/jayshree-periwal-international-school-bhankrota,https://yellowslate.com/school/jaipur/jayshree-periwal-international-school-bhankrota,jaipur,Jayshree Periwal International School - Bhankrota ,4.4,88,150,+919513238818,Bhankrota,"IB, IGCSE",2011,International Schools,Nursery - 12,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2F176297164513017744196914cffd057271762971645.jpg&w=1200&q=75
/school/jaipur/orchids-international-school-pragpura,https://yellowslate.com/school/jaipur/orchids-international-school-pragpura,jaipur,Orchids International School - Pragpura ,0,82,0,+919513238818,Pragpura,CBSE,2001,International Schools,Nursery - 10,Co-Education,,,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
